pais,iso3,subregion,anio,decada,dimension,indicador,codigo_bm,unidad,valor,es_outlier
Argentina,ARG,Cono Sur,1994,1990s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,14.6,False
Argentina,ARG,Cono Sur,1995,1990s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,22.3,False
Argentina,ARG,Cono Sur,1996,1990s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,20.2,False
Argentina,ARG,Cono Sur,1997,1990s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,18.2,False
Argentina,ARG,Cono Sur,1998,1990s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,15.0,False
Argentina,ARG,Cono Sur,1999,1990s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,15.7,False
Argentina,ARG,Cono Sur,2000,2000s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,17.1,False
Argentina,ARG,Cono Sur,2001,2000s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,17.5,False
Argentina,ARG,Cono Sur,2002,2000s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,18.8,False
Argentina,ARG,Cono Sur,2003,2000s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,18.8,False
Argentina,ARG,Cono Sur,2004,2000s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,14.6,False
Argentina,ARG,Cono Sur,2005,2000s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,12.6,False
Argentina,ARG,Cono Sur,2006,2000s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,12.6,False
Argentina,ARG,Cono Sur,2007,2000s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,11.0,False
Argentina,ARG,Cono Sur,2008,2000s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,9.8,False
Argentina,ARG,Cono Sur,2009,2000s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,9.9,False
Argentina,ARG,Cono Sur,2010,2010s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,9.2,False
Argentina,ARG,Cono Sur,2011,2010s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,8.6,False
Argentina,ARG,Cono Sur,2012,2010s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,8.9,False
Argentina,ARG,Cono Sur,2013,2010s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,8.6,False
Argentina,ARG,Cono Sur,2014,2010s,Calidad del empleo,Desempleo femenino,SL.UEM.TOTL.FE.ZS,% de la PEA femenina,9.8,False
Argentina,ARG,Cono Sur,1990,1990s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.8,False
Argentina,ARG,Cono Sur,1991,1990s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.0,False
Argentina,ARG,Cono Sur,1992,1990s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.4,False
Argentina,ARG,Cono Sur,1993,1990s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,3.2,False
Argentina,ARG,Cono Sur,1994,1990s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.4,False
Argentina,ARG,Cono Sur,1995,1990s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.3,False
Argentina,ARG,Cono Sur,1996,1990s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.4,False
Argentina,ARG,Cono Sur,1997,1990s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.4,False
Argentina,ARG,Cono Sur,1998,1990s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.4,False
Argentina,ARG,Cono Sur,1999,1990s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.5,False
Argentina,ARG,Cono Sur,2000,2000s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.9,False
Argentina,ARG,Cono Sur,2001,2000s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.4,False
Argentina,ARG,Cono Sur,2002,2000s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,1.9,False
Argentina,ARG,Cono Sur,2003,2000s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.2,False
Argentina,ARG,Cono Sur,2004,2000s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.4,False
Argentina,ARG,Cono Sur,2005,2000s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.4,False
Argentina,ARG,Cono Sur,2006,2000s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.5,False
Argentina,ARG,Cono Sur,2007,2000s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.6,False
Argentina,ARG,Cono Sur,2008,2000s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.9,False
Argentina,ARG,Cono Sur,2009,2000s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,3.0,False
Argentina,ARG,Cono Sur,2010,2010s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.9,False
Argentina,ARG,Cono Sur,2011,2010s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.6,False
Argentina,ARG,Cono Sur,2012,2010s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.7,False
Argentina,ARG,Cono Sur,2013,2010s,Calidad del empleo,Empleadoras,SL.EMP.MPYR.FE.ZS,% del empleo femenino,2.6,False
Argentina,ARG,Cono Sur,1990,1990s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.2,False
Argentina,ARG,Cono Sur,1991,1990s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.1,False
Argentina,ARG,Cono Sur,1992,1990s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.3,False
Argentina,ARG,Cono Sur,1993,1990s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.3,False
Argentina,ARG,Cono Sur,1994,1990s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.2,False
Argentina,ARG,Cono Sur,1995,1990s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.4,False
Argentina,ARG,Cono Sur,1996,1990s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.2,False
Argentina,ARG,Cono Sur,1997,1990s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.2,False
Argentina,ARG,Cono Sur,1998,1990s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.2,False
Argentina,ARG,Cono Sur,1999,1990s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.2,False
Argentina,ARG,Cono Sur,2000,2000s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.2,False
Argentina,ARG,Cono Sur,2001,2000s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.3,False
Argentina,ARG,Cono Sur,2002,2000s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.5,False
Argentina,ARG,Cono Sur,2003,2000s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,1.0,False
Argentina,ARG,Cono Sur,2004,2000s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.9,False
Argentina,ARG,Cono Sur,2005,2000s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.6,False
Argentina,ARG,Cono Sur,2006,2000s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.5,False
Argentina,ARG,Cono Sur,2007,2000s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.4,False
Argentina,ARG,Cono Sur,2008,2000s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.4,False
Argentina,ARG,Cono Sur,2009,2000s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.4,False
Argentina,ARG,Cono Sur,2010,2010s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.5,False
Argentina,ARG,Cono Sur,2011,2010s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.7,False
Argentina,ARG,Cono Sur,2012,2010s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.3,False
Argentina,ARG,Cono Sur,2013,2010s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.2,False
Argentina,ARG,Cono Sur,2014,2010s,Estructura sectorial,Empleo femenino en agricultura,SL.AGR.EMPL.FE.ZS,% del empleo femenino,0.2,False
