pais,iso3,subregion,anio,Asalariadas,Bancas parlamentarias femeninas,Desempleo femenino,Empleadoras,Empleo femenino en agricultura,Empleo femenino en servicios,Empleo vulnerable femenino,Firmas con gerenta mujer,Firmas con propiedad femenina,Mujeres en puestos directivos,PBI per cápita,Participación laboral femenina,Participación laboral masculina,Ratio participación mujer/varón
Nicaragua,NIC,Centroamérica y México,2002,,20.7,4.4,,,,,,,,1010.15,40.3,81.7,49.33
Nicaragua,NIC,Centroamérica y México,2003,48.4,20.7,8.2,2.4,10.4,72.3,49.2,,,40.18,1015.57,41.3,81.3,50.8
Nicaragua,NIC,Centroamérica y México,2004,50.7,20.7,6.8,2.1,10.6,72.8,47.2,,,38.53,1091.51,42.4,80.9,52.41
Nicaragua,NIC,Centroamérica y México,2005,50.7,20.7,5.6,2.5,8.3,72.6,46.8,,,40.34,1175.12,43.5,80.5,54.04
Nicaragua,NIC,Centroamérica y México,2006,51.8,15.2,5.0,2.5,8.4,73.8,45.7,,41.4,40.99,1245.14,44.6,80.0,55.75
Nicaragua,NIC,Centroamérica y México,2007,53.2,18.5,5.3,2.3,8.4,71.7,44.6,,,,1350.59,45.0,80.0,56.25
Nicaragua,NIC,Centroamérica y México,2008,52.0,18.5,7.0,2.2,6.2,75.0,45.8,,,,1517.8,45.4,79.9,56.82
Nicaragua,NIC,Centroamérica y México,2009,,20.7,7.8,,,,,,,,1478.97,45.8,79.9,57.32
Nicaragua,NIC,Centroamérica y México,2010,41.5,20.7,8.8,2.8,,,55.7,32.3,61.9,,1523.48,46.2,80.0,57.75
Nicaragua,NIC,Centroamérica y México,2011,,40.2,8.1,,,,,,,,1679.75,46.6,80.0,58.25
Nicaragua,NIC,Centroamérica y México,2012,,40.2,7.4,,,,,,,,1776.21,47.0,80.1,58.68
Nicaragua,NIC,Centroamérica y México,2013,,40.2,5.4,,,,,,,,1829.02,47.4,80.3,59.03
Nicaragua,NIC,Centroamérica y México,2014,,42.4,5.3,,,,,,,,1960.49,47.7,80.4,59.33
Panamá,PAN,Centroamérica y México,1990,,7.5,,,,,,,,,2276.68,38.9,79.3,49.05
Panamá,PAN,Centroamérica y México,1991,,,22.7,,,,,,,,2451.91,39.1,78.6,49.75
Panamá,PAN,Centroamérica y México,1992,83.5,,21.5,1.3,3.0,86.0,15.3,,,,2730.53,39.7,80.0,49.63
Panamá,PAN,Centroamérica y México,1993,84.0,,20.3,1.3,3.0,86.0,14.7,,,,2921.53,40.4,81.2,49.75
Panamá,PAN,Centroamérica y México,1994,83.0,,20.5,1.5,2.5,86.4,15.5,,,,3052.42,41.4,81.0,51.11
Panamá,PAN,Centroamérica y México,1995,80.4,,20.2,1.3,3.3,85.6,18.2,,,,3057.24,42.8,81.8,52.32
Panamá,PAN,Centroamérica y México,1996,79.9,,20.3,1.5,2.6,85.3,18.6,,,,3531.64,43.2,81.5,53.01
Panamá,PAN,Centroamérica y México,1997,79.0,9.7,18.3,1.5,2.3,86.4,19.6,,,,3742.76,43.7,81.1,53.88
Panamá,PAN,Centroamérica y México,1998,77.3,9.7,20.9,1.8,1.9,87.5,20.9,,,,3975.95,44.7,82.7,54.05
Panamá,PAN,Centroamérica y México,1999,77.0,,17.1,1.7,1.9,87.7,21.3,,,,4083.95,44.4,81.9,54.21
Panamá,PAN,Centroamérica y México,2000,79.3,9.9,17.8,1.6,1.7,89.2,19.1,,,,4062.39,45.0,81.6,55.15
Panamá,PAN,Centroamérica y México,2001,79.3,9.9,18.9,1.4,3.0,87.9,19.3,,,40.39,4050.03,45.6,81.2,56.16
Panamá,PAN,Centroamérica y México,2002,75.2,9.9,18.5,1.7,3.0,87.6,23.0,,,37.61,4132.06,46.2,80.7,57.25
Panamá,PAN,Centroamérica y México,2003,74.9,9.9,18.1,1.7,3.7,87.7,23.4,,,39.53,4275.98,46.8,80.7,57.99
Panamá,PAN,Centroamérica y México,2004,74.8,16.7,16.5,1.5,3.0,88.2,23.6,,,39.64,4604.44,47.0,81.4,57.74
Panamá,PAN,Centroamérica y México,2005,71.9,16.7,13.4,1.7,4.3,86.5,26.3,,,42.66,4933.05,47.9,81.2,58.99
Panamá,PAN,Centroamérica y México,2006,72.4,16.7,11.9,1.9,4.5,86.7,25.7,,37.1,45.05,5370.55,46.5,80.7,57.62
Panamá,PAN,Centroamérica y México,2007,74.6,16.7,8.8,1.8,3.4,86.9,23.5,,,43.55,6095.28,47.4,80.9,58.59
Panamá,PAN,Centroamérica y México,2008,73.1,16.7,7.7,2.2,3.9,86.7,24.6,,,48.08,7008.99,48.5,82.9,58.5
Panamá,PAN,Centroamérica y México,2009,67.0,8.5,9.0,1.9,8.0,81.8,31.2,,,46.01,7471.34,49.5,82.5,60.0
Panamá,PAN,Centroamérica y México,2010,69.8,8.5,8.6,2.0,7.7,82.6,28.2,23.5,24.7,47.9,7987.06,48.8,82.0,59.51
Panamá,PAN,Centroamérica y México,2011,73.9,8.5,5.0,2.2,7.1,83.3,23.9,,,45.97,9335.69,48.9,81.9,59.71
Panamá,PAN,Centroamérica y México,2012,71.3,8.5,5.0,1.7,8.5,82.7,26.9,,,,10672.36,49.0,81.9,59.83
Panamá,PAN,Centroamérica y México,2013,70.5,8.5,5.2,1.2,,,28.3,,,,11786.63,49.0,81.8,59.9
Panamá,PAN,Centroamérica y México,2014,70.7,19.3,5.6,1.5,,,27.8,,,,12712.43,49.1,81.7,60.1
Paraguay,PRY,Cono Sur,1990,66.8,5.6,,2.3,0.8,83.7,30.9,,,,1351.58,53.6,90.9,58.97
Paraguay,PRY,Cono Sur,1991,65.9,,8.5,4.3,0.4,85.9,29.8,,,,1615.48,54.2,90.9,59.63
Paraguay,PRY,Cono Sur,1992,68.7,,6.3,4.8,0.4,80.4,26.5,,,,1614.67,54.6,90.9,60.07
Paraguay,PRY,Cono Sur,1993,68.0,,9.1,4.2,0.5,85.8,27.7,,,,1596.14,55.1,90.9,60.62
Paraguay,PRY,Cono Sur,1994,59.7,,8.0,5.3,0.8,86.6,35.0,,,,1692.24,55.5,90.9,61.06
Paraguay,PRY,Cono Sur,1995,,,3.9,,36.5,55.5,,,,,1903.47,55.9,90.9,61.5
Paraguay,PRY,Cono Sur,1996,54.8,,5.3,3.5,,,41.6,,,,2009.65,53.4,89.9,59.4
Paraguay,PRY,Cono Sur,1997,47.4,2.5,6.7,3.6,13.6,75.3,49.0,,,,2000.91,50.7,88.7,57.16
Paraguay,PRY,Cono Sur,1998,47.1,,6.7,3.4,14.1,75.2,49.5,,,,1773.24,48.2,87.3,55.21
Paraguay,PRY,Cono Sur,1999,47.3,2.5,7.5,2.6,16.6,71.8,50.1,,,,1614.9,49.6,87.3,56.82
Paraguay,PRY,Cono Sur,2000,,2.5,9.2,,20.3,69.2,,,,,1545.63,51.1,86.7,58.94
Paraguay,PRY,Cono Sur,2001,45.1,2.5,9.2,3.0,20.3,69.2,51.9,,,,1417.26,52.4,86.1,60.86
Paraguay,PRY,Cono Sur,2002,44.7,2.5,13.6,1.6,20.0,70.0,53.6,,,,1148.23,53.0,86.0,61.63
Paraguay,PRY,Cono Sur,2003,45.4,8.8,10.1,2.4,20.5,69.3,52.2,,,,1174.78,53.5,85.9,62.28
Paraguay,PRY,Cono Sur,2004,42.9,10.0,9.3,2.1,24.4,64.3,55.0,,,,1408.53,54.0,85.8,62.94
Paraguay,PRY,Cono Sur,2005,48.7,10.0,7.3,2.4,22.3,68.7,48.8,,,,1507.15,54.6,85.7,63.71
Paraguay,PRY,Cono Sur,2006,46.8,10.0,8.4,2.4,21.6,69.5,50.8,,44.8,,1809.71,55.3,85.6,64.6
Paraguay,PRY,Cono Sur,2007,46.8,10.0,7.7,2.8,23.5,67.6,50.3,,,34.62,2312.19,55.9,85.5,65.38
Paraguay,PRY,Cono Sur,2008,49.2,12.5,7.6,2.3,19.2,71.1,48.4,,,34.06,3059.99,55.5,85.9,64.61
Paraguay,PRY,Cono Sur,2009,47.6,12.5,8.2,3.0,21.6,68.0,49.2,,,35.35,2599.59,57.2,86.4,66.2
Paraguay,PRY,Cono Sur,2010,50.4,12.5,7.1,2.9,19.1,72.3,46.5,22.8,51.6,32.04,3225.59,54.8,84.7,64.7
Paraguay,PRY,Cono Sur,2011,51.7,12.5,5.6,2.5,20.2,70.8,45.6,,,33.98,3983.5,55.1,84.8,64.98
Paraguay,PRY,Cono Sur,2012,48.5,12.5,6.1,3.5,23.0,68.7,49.0,,,32.34,3858.04,55.4,84.8,65.33
Paraguay,PRY,Cono Sur,2013,54.9,17.5,6.1,4.1,16.5,75.4,40.9,,,38.56,4479.96,55.7,84.8,65.68
Paraguay,PRY,Cono Sur,2014,54.8,15.0,5.6,4.2,16.6,74.3,41.0,,,33.82,4712.87,55.9,84.8,65.92
Perú,PER,Región Andina,1990,52.8,5.6,,1.7,0.6,79.7,45.5,,,,1177.92,46.0,77.6,59.28
Perú,PER,Región Andina,1991,55.2,,6.9,2.3,0.4,84.0,42.5,,,,1514.72,43.9,76.7,57.24
Perú,PER,Región Andina,1992,52.8,,5.7,1.5,0.3,86.9,45.7,,,,1547.29,45.4,78.1,58.13
Perú,PER,Región Andina,1993,54.7,,7.1,2.3,0.3,84.6,43.1,,,,1476.25,46.9,79.3,59.14
Perú,PER,Región Andina,1994,52.9,,6.2,2.9,0.3,85.3,44.2,,,,1849.84,48.4,80.4,60.2
Perú,PER,Región Andina,1995,53.6,,6.3,2.7,0.4,83.1,43.7,,,,2162.76,51.2,80.9,63.29
Perú,PER,Región Andina,1996,36.1,,7.0,2.5,3.6,84.2,52.0,,,26.66,2208.4,54.3,81.7,66.46
Perú,PER,Región Andina,1997,32.7,10.8,5.9,2.8,4.7,83.1,54.9,,,19.91,2289.16,57.5,82.4,69.78
Perú,PER,Región Andina,1998,36.2,10.8,5.6,3.3,3.1,85.9,50.2,,,27.23,2164.09,58.2,83.6,69.62
Perú,PER,Región Andina,1999,35.7,10.8,6.9,3.0,3.3,85.6,50.1,,,23.22,1929.98,61.1,83.4,73.26
Perú,PER,Región Andina,2000,32.6,,6.8,2.9,3.9,84.6,51.9,,,28.07,1967.24,57.6,82.8,69.57
Perú,PER,Región Andina,2001,33.2,17.5,5.5,3.0,6.1,83.8,52.7,,,27.04,1964.57,62.5,83.9,74.49
Perú,PER,Región Andina,2002,61.0,17.5,6.3,1.9,7.5,82.1,36.9,,,25.25,2046.38,60.5,81.6,74.14
Perú,PER,Región Andina,2003,58.4,17.5,6.7,3.1,7.7,82.8,38.5,,,27.5,2191.37,58.5,79.3,73.77
Perú,PER,Región Andina,2004,35.5,18.3,6.0,2.6,7.6,82.2,61.9,,,24.89,2445.45,58.0,79.3,73.14
Perú,PER,Región Andina,2005,36.5,18.3,5.8,3.0,8.0,80.9,60.5,,,26.12,2714.48,57.6,79.2,72.73
Perú,PER,Región Andina,2006,37.9,29.2,5.1,3.0,7.5,81.5,59.1,,32.8,28.04,3143.55,58.1,81.5,71.29
Perú,PER,Región Andina,2007,39.5,29.2,5.2,3.3,5.5,82.2,57.3,,,29.73,3611.2,64.9,84.0,77.26
Perú,PER,Región Andina,2008,40.2,29.2,5.0,2.9,5.5,81.9,56.9,,,19.44,4244.54,65.5,84.9,77.15
Perú,PER,Región Andina,2009,40.3,27.5,4.7,3.1,,,56.6,,,35.9,4178.82,67.5,84.4,79.98
Perú,PER,Región Andina,2010,40.9,27.5,4.3,3.2,,,55.9,14.1,28.7,29.05,5056.3,67.6,84.4,80.09
Perú,PER,Región Andina,2011,42.3,21.5,4.3,2.8,,,54.9,,,35.61,5731.7,67.8,84.4,80.33
Perú,PER,Región Andina,2012,43.6,21.5,4.3,3.0,,,53.4,,,29.34,6389.63,68.0,84.4,80.57
Perú,PER,Región Andina,2013,,21.5,4.6,,,,,,,29.71,6609.71,68.2,84.4,80.81
Perú,PER,Región Andina,2014,,22.3,4.8,,,,,,,,6549.39,68.4,84.4,81.04
República Dominicana,DOM,Caribe,1990,,7.5,,,,,,,,,984.69,44.1,84.3,52.31
República Dominicana,DOM,Caribe,1991,68.9,,33.5,1.1,2.6,73.7,30.0,,,,1327.45,44.2,84.4,52.37
República Dominicana,DOM,Caribe,1992,63.1,,36.2,1.6,2.7,75.5,35.3,,,,1510.02,44.3,83.7,52.93
República Dominicana,DOM,Caribe,1993,66.7,,34.3,1.6,2.8,75.1,31.7,,,,1704.85,44.5,83.3,53.42
República Dominicana,DOM,Caribe,1994,69.6,,27.1,1.1,2.2,76.5,29.3,,,,1871.67,44.6,83.3,53.54
República Dominicana,DOM,Caribe,1995,69.5,,25.5,1.7,1.7,77.9,28.8,,,,2072.68,44.8,82.9,54.04
República Dominicana,DOM,Caribe,1996,67.6,,27.3,2.0,3.5,75.6,30.5,,,25.0,2258.26,45.1,82.4,54.73
República Dominicana,DOM,Caribe,1997,66.6,11.7,25.7,1.2,2.2,76.8,32.2,,,24.9,2400.19,45.4,81.8,55.5
República Dominicana,DOM,Caribe,1998,64.4,16.1,23.5,1.9,2.4,75.4,33.6,,,27.13,2551.91,45.7,81.2,56.28
República Dominicana,DOM,Caribe,1999,65.1,16.1,22.4,2.8,2.8,76.8,32.1,,,33.89,2575.56,46.1,80.6,57.2
República Dominicana,DOM,Caribe,2000,69.7,16.1,23.6,1.8,2.5,77.4,28.5,,,30.59,2802.42,46.4,80.1,57.93
República Dominicana,DOM,Caribe,2001,67.7,16.1,22.2,2.3,1.9,81.3,30.0,,,30.91,2862.16,46.9,80.3,58.41
República Dominicana,DOM,Caribe,2002,67.3,17.3,18.8,2.1,1.9,82.7,30.7,,,30.56,3008.47,47.5,80.3,59.15
República Dominicana,DOM,Caribe,2003,69.4,17.3,26.2,1.8,1.7,81.9,28.8,,,31.01,2372.63,47.9,80.5,59.5
República Dominicana,DOM,Caribe,2004,69.8,17.3,28.8,3.0,1.9,81.8,27.1,,,32.81,2421.09,48.4,80.6,60.05
República Dominicana,DOM,Caribe,2005,66.4,17.3,28.0,2.9,2.8,80.7,30.7,,,32.43,3681.07,49.0,80.5,60.87
República Dominicana,DOM,Caribe,2006,67.5,19.7,25.4,2.9,2.2,82.5,29.6,,,41.72,3836.48,49.7,80.3,61.89
República Dominicana,DOM,Caribe,2007,67.3,19.7,25.6,2.5,2.1,83.4,30.2,,,30.61,4637.24,50.3,80.1,62.8
República Dominicana,DOM,Caribe,2008,64.7,19.7,22.6,2.9,2.2,82.5,32.4,,,,4996.94,50.6,79.7,63.49
República Dominicana,DOM,Caribe,2009,67.2,19.7,23.0,2.7,2.1,83.4,30.1,,,31.04,4933.94,50.8,79.5,63.9
República Dominicana,DOM,Caribe,2010,45.4,20.8,18.5,2.2,1.8,60.1,21.7,11.0,30.0,34.12,5441.97,51.0,78.9,64.64
República Dominicana,DOM,Caribe,2011,66.3,20.8,21.9,2.1,2.5,41.2,31.6,,,42.43,5820.4,51.1,78.8,64.85
República Dominicana,DOM,Caribe,2012,66.9,20.8,22.3,2.2,2.2,40.4,30.9,,,38.59,5967.0,51.2,78.7,65.06
República Dominicana,DOM,Caribe,2013,68.4,20.8,23.4,2.6,2.1,41.3,28.9,,,37.02,5952.33,51.3,78.6,65.27
República Dominicana,DOM,Caribe,2014,,20.8,23.4,,2.8,40.4,,,,,6147.34,51.4,78.5,65.48
Trinidad y Tobago,TTO,Caribe,1990,77.3,16.7,,1.7,6.3,80.0,20.8,,,35.69,4147.63,38.6,76.3,50.59
Trinidad y Tobago,TTO,Caribe,1991,77.1,,22.7,1.8,6.4,77.7,20.6,,,35.42,4230.59,44.0,66.6,66.07
Trinidad y Tobago,TTO,Caribe,1992,77.0,,23.6,2.2,5.5,80.2,20.0,,,33.83,4297.63,43.5,70.8,61.44
Trinidad y Tobago,TTO,Caribe,1993,76.2,,23.4,2.1,5.6,80.6,20.9,,,35.59,3681.55,43.2,73.7,58.62
Trinidad y Tobago,TTO,Caribe,1994,75.9,,21.8,1.8,6.2,80.5,21.4,,,36.5,3956.76,44.0,75.1,58.59
Trinidad y Tobago,TTO,Caribe,1995,77.1,,20.5,2.2,5.0,82.3,19.9,,,39.74,4246.38,44.8,75.9,59.03
Trinidad y Tobago,TTO,Caribe,1996,78.5,,21.1,2.4,4.5,82.7,18.3,,,41.69,4577.0,46.9,75.5,62.12
Trinidad y Tobago,TTO,Caribe,1997,77.6,11.1,19.6,2.8,3.9,83.5,18.5,,,41.99,4551.33,46.9,75.9,61.79
Trinidad y Tobago,TTO,Caribe,1998,80.1,11.1,18.8,2.2,3.4,83.4,17.0,,,39.74,4786.92,46.8,76.2,61.42
Trinidad y Tobago,TTO,Caribe,1999,79.4,11.1,16.7,2.3,2.8,84.1,17.5,,,41.87,5383.53,46.7,76.1,61.37
Trinidad y Tobago,TTO,Caribe,2000,80.1,,15.1,2.6,2.9,83.7,16.8,,,39.23,6430.97,46.5,76.3,60.94
Trinidad y Tobago,TTO,Caribe,2001,80.0,11.1,14.2,3.2,3.1,83.8,16.2,,,39.85,6935.71,47.0,75.8,62.01
Trinidad y Tobago,TTO,Caribe,2002,82.4,19.4,14.4,2.5,2.0,83.7,14.3,,,37.81,7049.61,47.6,75.3,63.21
Trinidad y Tobago,TTO,Caribe,2003,82.6,19.4,14.5,2.4,2.0,84.5,14.4,,,39.34,8804.52,49.6,75.6,65.61
Trinidad y Tobago,TTO,Caribe,2004,84.0,19.4,11.4,2.4,2.0,82.6,12.7,,,40.93,10290.52,51.5,75.9,67.85
Trinidad y Tobago,TTO,Caribe,2005,83.0,19.4,11.0,2.8,1.7,82.0,13.2,,,43.48,12323.14,53.5,76.2,70.21
Trinidad y Tobago,TTO,Caribe,2006,,19.4,8.8,,2.0,82.1,,,,,14096.0,53.6,75.9,70.62
Trinidad y Tobago,TTO,Caribe,2007,,26.8,7.9,,1.8,83.1,,,,,16530.18,52.4,76.7,68.32
Trinidad y Tobago,TTO,Caribe,2008,,26.8,6.2,,1.8,82.0,,,,,21188.12,53.0,75.8,69.92
Trinidad y Tobago,TTO,Caribe,2009,84.4,26.8,6.3,2.5,,,11.7,,,,14508.81,51.7,75.7,68.3
Trinidad y Tobago,TTO,Caribe,2010,84.3,28.6,7.0,2.6,,,11.9,20.8,45.1,,15840.44,52.5,75.4,69.63
Trinidad y Tobago,TTO,Caribe,2011,,28.6,5.6,,,,,,,,18287.39,52.7,75.5,69.8
Trinidad y Tobago,TTO,Caribe,2012,,28.6,6.2,,,,,,,,18322.32,52.9,75.5,70.07
Trinidad y Tobago,TTO,Caribe,2013,83.8,28.6,4.7,3.5,,,11.6,,,,20217.03,53.0,75.5,70.2
Trinidad y Tobago,TTO,Caribe,2014,,28.6,5.3,,,,,,,,21317.45,53.1,75.4,70.42
Uruguay,URY,Cono Sur,1990,,6.1,,,,78.2,,,,,2989.99,45.0,77.5,58.06
Uruguay,URY,Cono Sur,1991,,,9.5,,,76.8,,,,,3577.84,45.4,77.6,58.51
Uruguay,URY,Cono Sur,1992,,,9.9,,1.0,78.4,,,,,4082.03,47.4,77.6,61.08
Uruguay,URY,Cono Sur,1993,,,10.2,,0.9,79.2,,,,,4720.38,46.8,76.6,61.1
Uruguay,URY,Cono Sur,1994,,,10.0,,1.5,80.5,,,,,5458.09,48.2,77.4,62.27
Uruguay,URY,Cono Sur,1995,,,14.7,,1.6,81.7,,,,,5984.13,49.4,78.1,63.25
Uruguay,URY,Cono Sur,1996,,,13.3,,,,,,,,6316.29,50.0,77.5,64.52
Uruguay,URY,Cono Sur,1997,,7.1,12.9,,,,,,,,7327.95,50.6,76.9,65.8
Uruguay,URY,Cono Sur,1998,77.0,7.1,12.2,2.3,1.5,84.4,20.3,,,,7711.09,51.2,76.4,67.02
Uruguay,URY,Cono Sur,1999,76.6,12.1,13.3,2.2,1.2,84.9,20.9,,,,7247.4,51.6,76.1,67.81
Uruguay,URY,Cono Sur,2000,77.4,12.1,14.5,2.2,1.1,85.4,20.1,,,36.27,6871.9,52.0,75.8,68.6
Uruguay,URY,Cono Sur,2001,75.8,12.1,13.1,2.2,1.7,84.9,22.0,,,37.06,6281.37,53.7,76.6,70.1
Uruguay,URY,Cono Sur,2002,71.2,12.1,11.7,3.9,1.3,86.5,24.8,,,37.04,4088.77,53.0,75.3,70.39
Uruguay,URY,Cono Sur,2003,76.4,12.1,10.4,1.9,1.7,86.2,21.8,,,35.16,3622.05,52.3,74.0,70.68
Uruguay,URY,Cono Sur,2004,,12.1,10.4,,1.8,85.6,,,,,4117.31,52.5,74.1,70.85
Uruguay,URY,Cono Sur,2005,76.0,11.1,11.7,2.3,1.5,85.7,21.7,,,39.6,5220.96,52.7,74.1,71.12
Uruguay,URY,Cono Sur,2006,73.2,11.1,14.4,2.8,5.2,82.3,23.8,,41.6,39.53,5877.88,52.6,76.9,68.4
Uruguay,URY,Cono Sur,2007,72.7,12.1,12.5,2.9,4.8,82.5,24.0,,,40.27,7009.68,53.9,76.5,70.46
Uruguay,URY,Cono Sur,2008,69.4,12.1,10.4,6.2,,,24.3,,,,9062.29,54.5,76.7,71.06
Uruguay,URY,Cono Sur,2009,69.9,14.1,9.9,6.1,4.6,84.1,23.9,,,40.66,9415.15,55.1,76.9,71.65
Uruguay,URY,Cono Sur,2010,75.7,15.2,9.6,2.8,5.2,82.8,21.2,19.4,23.1,45.05,11938.28,55.2,76.7,71.97
Uruguay,URY,Cono Sur,2011,74.0,12.1,8.1,3.3,5.3,83.2,22.4,,,43.86,14166.56,55.3,76.7,72.1
Uruguay,URY,Cono Sur,2012,75.2,12.1,8.4,2.9,,,21.6,,,,15092.47,55.5,76.8,72.27
Uruguay,URY,Cono Sur,2013,75.5,12.1,8.5,2.9,4.4,85.3,21.3,,,,16881.38,55.6,76.8,72.4
Uruguay,URY,Cono Sur,2014,,16.2,9.1,,,,,,,,16737.97,55.8,76.8,72.66
Venezuela,VEN,Región Andina,1990,,10.0,,,2.2,82.2,,,,,2367.72,37.3,80.8,46.16
Venezuela,VEN,Región Andina,1991,,,10.9,,2.0,82.1,,,,,2544.45,38.9,81.5,47.73
Venezuela,VEN,Región Andina,1992,,,8.9,,1.8,82.2,,,,,2811.15,38.1,81.0,47.04
Venezuela,VEN,Región Andina,1993,,,7.7,,1.7,83.0,,,,,2732.67,36.3,79.7,45.55
Venezuela,VEN,Región Andina,1994,70.7,,8.6,1.8,2.2,83.3,27.4,,,,2601.85,37.3,81.0,46.05
Venezuela,VEN,Región Andina,1995,67.9,,12.1,2.1,1.8,84.2,29.9,,,,3375.09,41.2,82.1,50.18
Venezuela,VEN,Región Andina,1996,65.2,,16.1,1.9,1.7,85.2,33.0,,,,3013.73,43.9,82.5,53.21
Venezuela,VEN,Región Andina,1997,65.7,5.9,13.5,1.9,1.5,84.9,32.4,,,,3714.62,46.2,82.7,55.86
Venezuela,VEN,Región Andina,1998,59.5,5.9,12.7,1.6,1.3,85.2,38.8,,,,3875.9,47.8,83.2,57.45
Venezuela,VEN,Región Andina,1999,59.0,12.1,16.0,1.9,1.7,85.3,39.1,,,,4078.29,48.8,83.5,58.44
Venezuela,VEN,Región Andina,2000,58.1,,14.3,1.9,1.6,85.6,40.0,,,,4785.15,48.9,82.3,59.42
Venezuela,VEN,Región Andina,2001,57.0,9.7,14.6,3.1,1.7,86.1,39.9,,,,4928.17,52.5,82.6,63.56
Venezuela,VEN,Región Andina,2002,58.2,9.7,18.8,2.5,1.9,86.2,39.3,,,,3657.19,54.7,83.6,65.43
Venezuela,VEN,Región Andina,2003,58.0,9.7,20.3,2.3,2.3,86.0,39.7,,,,3233.96,53.7,82.9,64.78
Venezuela,VEN,Región Andina,2004,61.8,9.7,18.1,2.2,2.1,85.5,35.9,,,,4273.37,52.6,82.2,63.99
Venezuela,VEN,Región Andina,2005,63.0,17.4,13.7,2.3,2.0,86.0,34.7,,,,5435.87,51.6,81.5,63.31
Venezuela,VEN,Región Andina,2006,64.9,18.0,11.1,1.9,1.8,86.5,33.2,,,,6740.24,50.6,80.8,62.62
Venezuela,VEN,Región Andina,2007,65.2,18.6,8.2,1.9,1.8,86.0,32.9,,,,8325.22,50.1,80.0,62.62
Venezuela,VEN,Región Andina,2008,65.6,18.6,7.4,1.9,1.9,86.8,32.5,,,,11224.65,50.6,80.0,63.25
Venezuela,VEN,Región Andina,2009,60.9,17.5,8.4,1.9,1.8,86.4,32.9,,,,11534.84,51.0,79.4,64.23
Venezuela,VEN,Región Andina,2010,60.3,17.0,9.2,1.6,1.8,86.9,33.9,31.1,30.7,,13581.35,50.5,79.3,63.68
Venezuela,VEN,Región Andina,2011,61.1,17.0,9.3,1.6,1.6,87.6,33.3,,,,10754.59,50.7,79.3,63.93
Venezuela,VEN,Región Andina,2012,62.2,17.0,9.1,1.6,,,32.2,,,,12771.6,50.9,79.2,64.27
Venezuela,VEN,Región Andina,2013,63.5,17.0,8.3,1.8,,,30.3,,,,12265.03,51.1,79.2,64.52
Venezuela,VEN,Región Andina,2014,,17.0,9.4,,,,,,,,,51.2,79.1,64.73
