pais,iso3,subregion,anio,Asalariadas,Bancas parlamentarias femeninas,Desempleo femenino,Empleadoras,Empleo femenino en agricultura,Empleo femenino en servicios,Empleo vulnerable femenino,Firmas con gerenta mujer,Firmas con propiedad femenina,Mujeres en puestos directivos,PBI per cápita,Participación laboral femenina,Participación laboral masculina,Ratio participación mujer/varón
El Salvador,SLV,Centroamérica y México,2013,41.4,26.2,4.5,3.1,4.5,78.0,45.8,,,,3998.74,47.8,79.0,60.51
El Salvador,SLV,Centroamérica y México,2014,,27.4,4.4,,,,,,,,4102.06,48.1,79.0,60.89
Guatemala,GTM,Centroamérica y México,1990,,7.0,,,3.2,75.0,,,,,835.3,40.5,87.9,46.08
Guatemala,GTM,Centroamérica y México,1991,,,3.3,,2.6,70.2,,,,,1002.25,40.6,87.8,46.24
Guatemala,GTM,Centroamérica y México,1992,,,3.4,,,,,,,,1085.43,40.7,87.5,46.51
Guatemala,GTM,Centroamérica y México,1993,,,3.4,,,,,,,,1156.17,40.8,87.4,46.68
Guatemala,GTM,Centroamérica y México,1994,67.8,,3.3,2.2,,,29.9,,,,1284.65,40.9,87.2,46.9
Guatemala,GTM,Centroamérica y México,1995,,,4.2,,,,,,,,1415.12,41.1,86.9,47.3
Guatemala,GTM,Centroamérica y México,1996,,,4.2,,,,,,,,1487.1,41.2,86.8,47.47
Guatemala,GTM,Centroamérica y México,1997,,12.5,6.0,,,,,,,,1636.21,41.4,86.6,47.81
Guatemala,GTM,Centroamérica y México,1998,42.9,12.5,4.1,1.7,17.0,58.5,55.4,,,,1741.4,41.6,86.3,48.2
Guatemala,GTM,Centroamérica y México,1999,,7.1,2.4,,,,,,,,1605.53,41.8,86.1,48.55
Guatemala,GTM,Centroamérica y México,2000,43.0,8.8,1.8,1.6,18.8,57.0,55.4,,,,1650.37,41.9,86.0,48.72
Guatemala,GTM,Centroamérica y México,2001,,8.8,1.6,,,,,,,,1561.6,42.1,86.0,48.95
Guatemala,GTM,Centroamérica y México,2002,35.2,8.8,3.9,2.4,18.1,55.6,62.5,,,,1692.96,42.2,85.9,49.13
Guatemala,GTM,Centroamérica y México,2003,37.3,8.2,3.5,2.7,18.4,56.3,60.0,,,,1743.17,42.4,86.0,49.3
Guatemala,GTM,Centroamérica y México,2004,39.2,8.2,3.9,2.5,15.3,64.4,58.4,,,,1860.99,42.5,85.9,49.48
Guatemala,GTM,Centroamérica y México,2005,,8.2,3.0,,,,,,,,2064.05,44.9,87.4,51.37
Guatemala,GTM,Centroamérica y México,2006,,8.2,2.2,,16.0,63.3,,,28.4,,2241.01,47.3,88.5,53.45
Guatemala,GTM,Centroamérica y México,2007,,12.0,3.1,,,,,,,,2472.39,47.7,88.1,54.14
Guatemala,GTM,Centroamérica y México,2008,,12.0,3.5,,,,,,,,2774.32,48.0,88.0,54.55
Guatemala,GTM,Centroamérica y México,2009,,12.0,4.0,,,,,,,,2617.11,48.4,88.2,54.88
Guatemala,GTM,Centroamérica y México,2010,42.6,12.0,4.3,2.2,,,,15.7,44.2,,2805.95,48.8,88.2,55.33
Guatemala,GTM,Centroamérica y México,2011,53.6,13.3,6.3,1.6,14.3,64.8,44.8,,,,3166.58,48.9,88.2,55.44
Guatemala,GTM,Centroamérica y México,2012,41.5,13.3,3.6,2.6,12.6,71.8,55.9,,,,3278.63,49.1,88.2,55.67
Guatemala,GTM,Centroamérica y México,2013,46.5,13.3,3.0,2.3,10.9,74.6,,,,,3432.02,49.3,88.2,55.9
Guatemala,GTM,Centroamérica y México,2014,,13.3,3.0,,,,,,,,3666.59,49.5,88.2,56.12
Haití,HTI,Caribe,1990,21.2,,,,49.6,37.8,,,,,,56.8,77.4,73.39
Haití,HTI,Caribe,1991,,,14.8,,,,,,,,479.55,56.9,76.7,74.19
Haití,HTI,Caribe,1992,,,14.9,,,,,,,,305.55,57.0,76.0,75.0
Haití,HTI,Caribe,1993,,,15.0,,,,,,,,249.41,57.1,75.2,75.93
Haití,HTI,Caribe,1994,,,15.3,,,,,,,,282.42,57.2,74.4,76.88
Haití,HTI,Caribe,1995,,,13.8,,,,,,,,359.77,57.2,73.5,77.82
Haití,HTI,Caribe,1996,,,14.1,,,,,,,,365.0,57.1,72.6,78.65
Haití,HTI,Caribe,1997,,3.6,14.1,,,,,,,,411.6,57.1,71.7,79.64
Haití,HTI,Caribe,1998,,3.6,14.1,,,,,,,,450.92,57.0,70.7,80.62
Haití,HTI,Caribe,1999,,3.6,8.3,,37.3,56.7,,,,,494.23,56.9,69.8,81.52
Haití,HTI,Caribe,2000,,,8.5,,,,,,,,462.48,56.9,69.0,82.46
Haití,HTI,Caribe,2001,,3.6,8.7,,,,,,,,413.74,57.1,69.0,82.75
Haití,HTI,Caribe,2002,,3.6,8.7,,,,,,,,393.02,57.4,69.0,83.19
Haití,HTI,Caribe,2003,,3.6,8.6,,,,,,,,329.78,57.7,69.1,83.5
Haití,HTI,Caribe,2004,,3.6,9.1,,,,,,,,387.94,58.1,69.3,83.84
Haití,HTI,Caribe,2005,,3.6,8.5,,,,,,,,465.31,58.4,69.5,84.03
Haití,HTI,Caribe,2006,,2.0,8.4,,,,,,,,505.58,58.7,69.6,84.34
Haití,HTI,Caribe,2007,,4.1,8.3,,,,,,,,615.82,59.0,69.8,84.53
Haití,HTI,Caribe,2008,,4.1,8.5,,,,,,,,674.75,59.4,70.0,84.86
Haití,HTI,Caribe,2009,,4.1,8.2,,,,,,,,668.29,59.7,70.2,85.04
Haití,HTI,Caribe,2010,,11.1,9.1,,,,,,,,662.28,60.1,70.5,85.25
Haití,HTI,Caribe,2011,,4.2,7.8,,,,,,,,740.95,60.3,70.7,85.29
Haití,HTI,Caribe,2012,,4.2,8.1,,,,,,,,766.87,60.6,70.8,85.59
Haití,HTI,Caribe,2013,,4.2,7.8,,,,,,,,810.33,60.9,71.0,85.77
Haití,HTI,Caribe,2014,,4.2,7.8,,,,,,,,830.15,61.1,71.1,85.94
Honduras,HND,Centroamérica y México,1990,48.9,10.2,,0.7,5.8,71.4,50.2,,,,621.8,33.2,86.2,38.52
Honduras,HND,Centroamérica y México,1991,52.7,,6.4,0.6,,,46.5,,,,608.69,33.3,86.1,38.68
Honduras,HND,Centroamérica y México,1992,54.9,,4.3,0.5,6.2,69.1,44.6,,,,660.19,35.0,85.9,40.75
Honduras,HND,Centroamérica y México,1993,,,4.3,,,,,,,,654.75,35.0,86.4,40.51
Honduras,HND,Centroamérica y México,1994,54.7,,4.1,1.5,5.9,65.2,43.7,,,,629.16,35.0,86.8,40.32
Honduras,HND,Centroamérica y México,1995,51.2,,4.3,2.3,6.4,64.9,46.3,,,,699.51,35.0,87.2,40.14
Honduras,HND,Centroamérica y México,1996,47.8,,5.9,2.2,7.6,63.6,49.9,,,,704.69,40.1,87.8,45.67
Honduras,HND,Centroamérica y México,1997,47.7,,4.4,2.3,7.1,65.7,50.0,,,,796.32,40.6,87.9,46.19
Honduras,HND,Centroamérica y México,1998,47.6,9.4,5.3,2.6,7.8,65.7,49.8,,,,869.11,42.4,88.4,47.96
Honduras,HND,Centroamérica y México,1999,44.4,9.4,4.0,1.9,8.9,66.5,53.3,,,,878.65,46.0,89.0,51.69
Honduras,HND,Centroamérica y México,2000,,9.4,4.1,,,,,,,,1138.15,44.4,88.0,50.45
Honduras,HND,Centroamérica y México,2001,50.4,9.4,4.4,2.5,7.0,67.6,47.2,,,,1187.59,42.2,87.0,48.51
Honduras,HND,Centroamérica y México,2002,47.6,5.5,4.7,2.3,8.9,64.7,50.1,,,,1196.56,38.9,85.6,45.44
Honduras,HND,Centroamérica y México,2003,44.7,5.5,6.5,2.2,8.7,65.9,53.0,,,,1228.48,39.0,84.8,45.99
Honduras,HND,Centroamérica y México,2004,50.0,5.5,8.5,2.3,7.2,68.9,47.6,,,,1298.94,39.1,83.9,46.6
Honduras,HND,Centroamérica y México,2005,52.6,23.4,6.3,1.7,13.1,63.4,45.7,,,,1405.78,39.6,83.7,47.31
Honduras,HND,Centroamérica y México,2006,46.8,23.4,4.1,2.0,10.6,67.0,51.0,,39.9,,1547.27,40.2,83.3,48.26
Honduras,HND,Centroamérica y México,2007,46.0,23.4,3.9,1.7,10.0,68.1,52.2,,,,1720.77,40.7,83.0,49.04
Honduras,HND,Centroamérica y México,2008,47.0,23.4,4.1,1.8,10.4,68.2,51.2,,,,1899.55,41.1,82.9,49.58
Honduras,HND,Centroamérica y México,2009,41.6,18.0,4.4,2.0,11.9,67.9,56.4,,,,1975.8,41.5,83.0,50.0
Honduras,HND,Centroamérica y México,2010,41.3,18.0,6.6,1.9,12.5,67.9,56.8,31.7,43.3,,2110.82,41.9,82.9,50.54
Honduras,HND,Centroamérica y México,2011,,19.5,6.3,,9.6,69.7,,,,,2323.76,42.2,82.9,50.9
Honduras,HND,Centroamérica y México,2012,,19.5,5.3,,11.5,67.4,,,,,2395.07,42.5,82.9,51.27
Honduras,HND,Centroamérica y México,2013,,19.5,5.1,,10.3,70.2,,,,,2356.52,42.8,82.9,51.63
Honduras,HND,Centroamérica y México,2014,,25.8,5.1,,,,,,,,2434.28,43.1,82.9,51.99
Jamaica,JAM,Caribe,1990,,5.0,,,,,,,,,1921.43,66.4,81.8,81.17
Jamaica,JAM,Caribe,1991,61.3,,22.6,0.9,,,37.4,,,,1692.08,66.9,81.5,82.09
Jamaica,JAM,Caribe,1992,61.7,,22.3,0.7,15.9,71.7,37.1,,,,1457.21,67.4,81.2,83.0
Jamaica,JAM,Caribe,1993,63.4,,22.5,0.9,12.0,75.1,35.0,,,,1990.87,67.8,80.9,83.81
Jamaica,JAM,Caribe,1994,63.9,,22.0,1.2,12.1,75.0,34.5,,,,1995.06,68.3,80.5,84.84
Jamaica,JAM,Caribe,1995,65.3,,22.4,1.5,11.7,75.8,32.4,,,,2330.36,66.7,80.1,83.27
Jamaica,JAM,Caribe,1996,65.0,,22.9,1.5,11.3,76.9,32.8,,,,2591.49,65.0,79.6,81.66
Jamaica,JAM,Caribe,1997,65.4,11.7,23.7,1.9,10.1,79.7,31.6,,,,2940.06,63.0,79.1,79.65
Jamaica,JAM,Caribe,1998,65.5,13.6,22.3,1.7,9.9,81.5,32.3,,,,3409.87,60.8,78.6,77.35
Jamaica,JAM,Caribe,1999,64.7,13.3,22.8,1.7,8.9,83.3,32.8,,,,3416.77,60.0,78.1,76.82
Jamaica,JAM,Caribe,2000,64.8,13.3,22.4,1.6,9.2,84.1,33.0,,,,3448.45,59.3,77.7,76.32
Jamaica,JAM,Caribe,2001,65.3,13.3,21.1,1.2,9.6,84.2,33.1,,,,3487.9,58.5,77.4,75.58
Jamaica,JAM,Caribe,2002,67.7,,19.7,1.9,9.9,83.2,29.9,,,,3706.78,57.9,77.0,75.19
Jamaica,JAM,Caribe,2003,67.5,11.7,17.0,1.9,8.8,84.7,30.1,,,,3581.16,57.2,76.6,74.67
Jamaica,JAM,Caribe,2004,65.8,11.7,15.8,1.7,8.8,85.7,32.4,,,,3853.61,57.1,76.3,74.84
Jamaica,JAM,Caribe,2005,66.7,11.7,15.1,1.8,8.5,86.0,31.1,,,,4238.32,57.5,76.2,75.46
Jamaica,JAM,Caribe,2006,66.1,11.7,13.3,2.1,8.3,86.8,31.4,,,,4487.5,57.8,76.0,76.05
Jamaica,JAM,Caribe,2007,68.4,13.3,13.0,2.1,8.1,85.7,29.0,,,,4816.6,58.2,75.8,76.78
Jamaica,JAM,Caribe,2008,66.6,13.3,14.5,2.1,9.4,82.9,31.1,,,,5119.34,58.5,75.5,77.48
Jamaica,JAM,Caribe,2009,,13.3,14.8,,9.6,83.1,,,,,4489.27,56.6,73.1,77.43
Jamaica,JAM,Caribe,2010,,13.3,16.1,,9.4,83.6,,24.1,38.2,,4902.03,55.7,71.5,77.9
Jamaica,JAM,Caribe,2011,67.4,12.7,16.7,2.2,8.0,85.4,30.1,,,,5332.47,55.5,71.1,78.06
Jamaica,JAM,Caribe,2012,67.0,12.7,17.6,2.3,7.9,85.6,30.5,,,,5445.89,56.1,71.0,79.01
Jamaica,JAM,Caribe,2013,,12.7,19.5,,8.2,85.9,,,,,5253.79,56.1,70.9,79.13
Jamaica,JAM,Caribe,2014,,12.7,17.3,,,,,,,,5119.22,56.1,70.9,79.13
México,MEX,Centroamérica y México,1990,79.6,12.0,,,3.4,70.3,,,,,3068.7,34.3,83.9,40.88
México,MEX,Centroamérica y México,1991,62.2,,4.2,,10.8,69.7,,,,15.32,3600.05,34.1,84.5,40.36
México,MEX,Centroamérica y México,1992,60.7,,4.0,,10.1,71.5,,,,,4080.45,35.0,84.9,41.22
México,MEX,Centroamérica y México,1993,59.0,,3.9,,11.1,71.0,,,,19.67,5544.93,36.1,85.3,42.32
México,MEX,Centroamérica y México,1994,57.4,,4.8,,10.6,71.8,,,,,5690.67,36.7,84.3,43.53
México,MEX,Centroamérica y México,1995,59.5,,8.6,,9.8,74.7,,,,19.1,3640.83,37.9,82.9,45.72
México,MEX,Centroamérica y México,1996,61.1,,6.7,,9.7,72.1,,,,22.7,4131.81,37.9,83.1,45.61
México,MEX,Centroamérica y México,1997,58.7,14.2,6.1,,11.8,69.5,,,,20.42,4907.33,39.9,83.8,47.61
México,MEX,Centroamérica y México,1998,61.6,17.4,4.9,,7.9,71.5,,,,20.8,5038.63,39.6,83.8,47.26
México,MEX,Centroamérica y México,1999,62.2,18.2,3.6,,8.5,70.0,,,,22.81,5722.12,38.8,83.1,46.69
México,MEX,Centroamérica y México,2000,64.8,16.0,3.3,,7.2,70.6,,,,23.6,6649.72,39.1,82.4,47.45
México,MEX,Centroamérica y México,2001,64.4,16.0,3.2,,6.2,71.8,,,,25.22,6952.29,38.4,81.9,46.89
México,MEX,Centroamérica y México,2002,63.4,16.0,3.5,,6.5,72.9,,,,23.65,7023.79,39.1,81.5,47.98
México,MEX,Centroamérica y México,2003,63.3,22.6,3.7,,5.7,74.7,,,,23.73,6673.17,38.6,80.9,47.71
México,MEX,Centroamérica y México,2004,62.9,22.6,4.7,,6.0,74.6,,,,24.62,7115.12,40.8,81.3,50.18
México,MEX,Centroamérica y México,2005,64.7,24.2,3.6,,4.9,75.8,,,,28.4,7893.97,41.1,80.8,50.87
México,MEX,Centroamérica y México,2006,65.4,22.6,3.5,,4.7,76.4,,,24.8,27.32,8666.34,42.2,81.5,51.78
México,MEX,Centroamérica y México,2007,65.3,23.2,3.7,,4.4,77.1,,,,31.06,9222.88,42.9,81.2,52.83
México,MEX,Centroamérica y México,2008,65.3,23.2,3.9,,4.0,77.5,,,,30.72,9578.57,43.5,81.1,53.64
México,MEX,Centroamérica y México,2009,65.6,27.6,4.8,,4.4,77.1,,,,,7661.21,42.8,79.7,53.7
México,MEX,Centroamérica y México,2010,64.5,26.2,5.2,,4.0,77.5,,14.6,25.7,,8861.49,43.8,80.5,54.41
México,MEX,Centroamérica y México,2011,65.3,26.2,5.3,,3.6,79.8,,,,,9730.28,43.2,79.4,54.41
México,MEX,Centroamérica y México,2012,64.9,36.8,4.9,,4.1,79.8,,,,,9720.56,45.0,80.0,56.25
México,MEX,Centroamérica y México,2013,66.2,36.8,5.0,,3.7,79.8,,,,,10197.44,45.1,79.9,56.45
México,MEX,Centroamérica y México,2014,,37.4,5.0,,,,,,,,10350.81,45.1,79.9,56.45
Nicaragua,NIC,Centroamérica y México,1990,,14.8,,,,,,,,,243.56,35.0,83.1,42.12
Nicaragua,NIC,Centroamérica y México,1991,,,4.7,,,,,,,,351.4,34.6,83.4,41.49
Nicaragua,NIC,Centroamérica y México,1992,,,4.7,,,,,,,,413.92,34.3,83.8,40.93
Nicaragua,NIC,Centroamérica y México,1993,51.3,,4.6,1.8,,,47.0,,,,396.8,34.0,84.1,40.43
Nicaragua,NIC,Centroamérica y México,1994,,,3.9,,,,,,,,854.55,33.7,84.4,39.93
Nicaragua,NIC,Centroamérica y México,1995,56.9,,5.3,0.7,,,42.4,,,,897.72,33.4,84.7,39.43
Nicaragua,NIC,Centroamérica y México,1996,57.8,,4.6,0.8,,,41.4,,,,916.52,34.3,84.3,40.69
Nicaragua,NIC,Centroamérica y México,1997,57.9,10.8,4.0,1.1,,,41.0,,,,917.13,35.2,83.8,42.0
Nicaragua,NIC,Centroamérica y México,1998,56.3,10.8,4.5,1.6,,,42.1,,,,951.87,36.2,83.4,43.41
Nicaragua,NIC,Centroamérica y México,1999,57.3,9.7,4.0,1.4,,,41.2,,,,981.02,37.2,82.9,44.87
Nicaragua,NIC,Centroamérica y México,2000,51.8,9.7,3.7,1.1,,,47.1,,,,1016.02,38.2,82.5,46.3
Nicaragua,NIC,Centroamérica y México,2001,,,4.1,,,,,,,,1043.6,39.2,82.1,47.75
